bundle_id,group,window_days,base_filter,preagg_applied,over350,over500,errors,p95,max,kinds
group_a_bundle_010,A,30,p.check_bank_routing_number = %s,False,7,0,0,344.6712500008289,445.84058300824836,"[('normal', 4), ('hot_check_bank_routing_number', 3)]"
group_c_bundle_025,C,180,p.merchant_account_number = %s,True,1,1,3,216.99948567693355,1408.3107089973055,"[('normal', 1)]"
group_b_bundle_018,B,180,d.input_ip = %s,True,0,0,3,146.20258759096032,161.8684170243796,"[('normal', 3)]"
group_c_bundle_018,C,30,d.true_ip = %s,False,2,1,0,131.75887500983663,547.3157920059748,"[('hot_true_ip', 1), ('normal', 1)]"
group_a_bundle_014,A,90,p.check_bank_routing_number = %s,False,2,0,0,252.53433399484493,420.16100001637824,"[('hot_check_bank_routing_number', 2)]"
group_c_bundle_021,C,30,p.merchant_account_number = %s,False,0,0,2,156.5238540963037,174.45279198000208,"[('hot_merchant_account_number', 2)]"
group_b_bundle_020,B,180,d.true_ip = %s,True,0,0,2,146.39106280519627,165.20474999560975,"[('hot_true_ip', 1), ('normal', 1)]"
group_b_bundle_012,B,30,d.true_ip = %s,False,1,1,0,154.16799997910857,544.4546660000924,"[('hot_true_ip', 1)]"
group_c_bundle_022,C,180,d.exact_id = %s,True,0,0,1,182.80136697139827,211.5175420185551,"[('normal', 1)]"
